"","BFS_orig","NAME_orig","BFS_nb","NAME_nb"
"1.1",1,"Aeugst am Albis",2,"Affoltern am Albis"
"1.2",1,"Aeugst am Albis",4,"Hausen am Albis"
"1.3",1,"Aeugst am Albis",9,"Mettmenstetten"
"1.4",1,"Aeugst am Albis",12,"Rifferswil"
"1.5",1,"Aeugst am Albis",13,"Stallikon"
"1.6",1,"Aeugst am Albis",136,"Langnau am Albis"
"2.1",2,"Affoltern am Albis",1,"Aeugst am Albis"
"2.2",2,"Affoltern am Albis",5,"Hedingen"
"2.3",2,"Affoltern am Albis",9,"Mettmenstetten"
"2.4",2,"Affoltern am Albis",10,"Obfelden"
"2.5",2,"Affoltern am Albis",11,"Ottenbach"
"2.6",2,"Affoltern am Albis",13,"Stallikon"
"3.1",3,"Bonstetten",5,"Hedingen"
"3.2",3,"Bonstetten",13,"Stallikon"
"3.3",3,"Bonstetten",14,"Wettswil am Albis"
"3.4",3,"Bonstetten",241,"Aesch (ZH)"
"3.5",3,"Bonstetten",242,"Birmensdorf (ZH)"
"4.1",4,"Hausen am Albis",1,"Aeugst am Albis"
"4.2",4,"Hausen am Albis",6,"Kappel am Albis"
"4.3",4,"Hausen am Albis",12,"Rifferswil"
"4.4",4,"Hausen am Albis",136,"Langnau am Albis"
"4.5",4,"Hausen am Albis",295,"Horgen"
"5.1",5,"Hedingen",2,"Affoltern am Albis"
"5.2",5,"Hedingen",3,"Bonstetten"
"5.3",5,"Hedingen",13,"Stallikon"
"6.1",6,"Kappel am Albis",4,"Hausen am Albis"
"6.2",6,"Kappel am Albis",7,"Knonau"
"6.3",6,"Kappel am Albis",9,"Mettmenstetten"
"6.4",6,"Kappel am Albis",12,"Rifferswil"
"7.1",7,"Knonau",6,"Kappel am Albis"
"7.2",7,"Knonau",8,"Maschwanden"
"7.3",7,"Knonau",9,"Mettmenstetten"
"8.1",8,"Maschwanden",7,"Knonau"
"8.2",8,"Maschwanden",9,"Mettmenstetten"
"8.3",8,"Maschwanden",10,"Obfelden"
"9.1",9,"Mettmenstetten",1,"Aeugst am Albis"
"9.2",9,"Mettmenstetten",2,"Affoltern am Albis"
"9.3",9,"Mettmenstetten",6,"Kappel am Albis"
"9.4",9,"Mettmenstetten",7,"Knonau"
"9.5",9,"Mettmenstetten",8,"Maschwanden"
"9.6",9,"Mettmenstetten",10,"Obfelden"
"9.7",9,"Mettmenstetten",12,"Rifferswil"
"10.1",10,"Obfelden",2,"Affoltern am Albis"
"10.2",10,"Obfelden",8,"Maschwanden"
"10.3",10,"Obfelden",9,"Mettmenstetten"
"10.4",10,"Obfelden",11,"Ottenbach"
"11.1",11,"Ottenbach",2,"Affoltern am Albis"
"11.2",11,"Ottenbach",10,"Obfelden"
"12.1",12,"Rifferswil",1,"Aeugst am Albis"
"12.2",12,"Rifferswil",4,"Hausen am Albis"
"12.3",12,"Rifferswil",6,"Kappel am Albis"
"12.4",12,"Rifferswil",9,"Mettmenstetten"
"13.1",13,"Stallikon",1,"Aeugst am Albis"
"13.2",13,"Stallikon",2,"Affoltern am Albis"
"13.3",13,"Stallikon",3,"Bonstetten"
"13.4",13,"Stallikon",5,"Hedingen"
"13.5",13,"Stallikon",14,"Wettswil am Albis"
"13.6",13,"Stallikon",131,"Adliswil"
"13.7",13,"Stallikon",136,"Langnau am Albis"
"13.8",13,"Stallikon",242,"Birmensdorf (ZH)"
"13.9",13,"Stallikon",248,"Uitikon"
"13.10",13,"Stallikon",261,"Zürich"
"14.1",14,"Wettswil am Albis",3,"Bonstetten"
"14.2",14,"Wettswil am Albis",13,"Stallikon"
"14.3",14,"Wettswil am Albis",241,"Aesch (ZH)"
"14.4",14,"Wettswil am Albis",242,"Birmensdorf (ZH)"
"15.1",21,"Adlikon",30,"Andelfingen"
"15.2",21,"Adlikon",32,"Humlikon"
"15.3",21,"Adlikon",37,"Ossingen"
"15.4",21,"Adlikon",39,"Thalheim an der Thur"
"15.5",21,"Adlikon",214,"Dägerlen"
"16.1",22,"Benken (ZH)",25,"Dachsen"
"16.2",22,"Benken (ZH)",34,"Laufen-Uhwiesen"
"16.3",22,"Benken (ZH)",35,"Marthalen"
"16.4",22,"Benken (ZH)",38,"Rheinau"
"16.5",22,"Benken (ZH)",40,"Trüllikon"
"17.1",23,"Berg am Irchel",24,"Buch am Irchel"
"17.2",23,"Berg am Irchel",28,"Flaach"
"17.3",23,"Berg am Irchel",43,"Volken"
"17.4",23,"Berg am Irchel",57,"Freienstein-Teufen"
"18.1",24,"Buch am Irchel",23,"Berg am Irchel"
"18.2",24,"Buch am Irchel",26,"Dorf"
"18.3",24,"Buch am Irchel",43,"Volken"
"18.4",24,"Buch am Irchel",57,"Freienstein-Teufen"
"18.5",24,"Buch am Irchel",215,"Dättlikon"
"18.6",24,"Buch am Irchel",223,"Neftenbach"
"19.1",25,"Dachsen",22,"Benken (ZH)"
"19.2",25,"Dachsen",34,"Laufen-Uhwiesen"
"19.3",25,"Dachsen",38,"Rheinau"
"20.1",26,"Dorf",24,"Buch am Irchel"
"20.2",26,"Dorf",30,"Andelfingen"
"20.3",26,"Dorf",31,"Henggart"
"20.4",26,"Dorf",32,"Humlikon"
"20.5",26,"Dorf",43,"Volken"
"20.6",26,"Dorf",223,"Neftenbach"
"21.1",27,"Feuerthalen",29,"Flurlingen"
"21.2",27,"Feuerthalen",34,"Laufen-Uhwiesen"
"22.1",28,"Flaach",23,"Berg am Irchel"
"22.2",28,"Flaach",30,"Andelfingen"
"22.3",28,"Flaach",33,"Kleinandelfingen"
"22.4",28,"Flaach",35,"Marthalen"
"22.5",28,"Flaach",43,"Volken"
"23.1",29,"Flurlingen",27,"Feuerthalen"
"23.2",29,"Flurlingen",34,"Laufen-Uhwiesen"
"24.1",30,"Andelfingen",21,"Adlikon"
"24.2",30,"Andelfingen",26,"Dorf"
"24.3",30,"Andelfingen",28,"Flaach"
"24.4",30,"Andelfingen",32,"Humlikon"
"24.5",30,"Andelfingen",33,"Kleinandelfingen"
"24.6",30,"Andelfingen",37,"Ossingen"
"24.7",30,"Andelfingen",43,"Volken"
"25.1",31,"Henggart",26,"Dorf"
"25.2",31,"Henggart",32,"Humlikon"
"25.3",31,"Henggart",214,"Dägerlen"
"25.4",31,"Henggart",221,"Hettlingen"
"25.5",31,"Henggart",223,"Neftenbach"
"26.1",32,"Humlikon",21,"Adlikon"
"26.2",32,"Humlikon",26,"Dorf"
"26.3",32,"Humlikon",30,"Andelfingen"
"26.4",32,"Humlikon",31,"Henggart"
"26.5",32,"Humlikon",214,"Dägerlen"
"27.1",33,"Kleinandelfingen",28,"Flaach"
"27.2",33,"Kleinandelfingen",30,"Andelfingen"
"27.3",33,"Kleinandelfingen",35,"Marthalen"
"27.4",33,"Kleinandelfingen",37,"Ossingen"
"27.5",33,"Kleinandelfingen",40,"Trüllikon"
"28.1",34,"Laufen-Uhwiesen",22,"Benken (ZH)"
"28.2",34,"Laufen-Uhwiesen",25,"Dachsen"
"28.3",34,"Laufen-Uhwiesen",27,"Feuerthalen"
"28.4",34,"Laufen-Uhwiesen",29,"Flurlingen"
"28.5",34,"Laufen-Uhwiesen",40,"Trüllikon"
"29.1",35,"Marthalen",22,"Benken (ZH)"
"29.2",35,"Marthalen",28,"Flaach"
"29.3",35,"Marthalen",33,"Kleinandelfingen"
"29.4",35,"Marthalen",38,"Rheinau"
"29.5",35,"Marthalen",40,"Trüllikon"
"30.1",36,"Oberstammheim",42,"Unterstammheim"
"30.2",36,"Oberstammheim",44,"Waltalingen"
"31.1",37,"Ossingen",21,"Adlikon"
"31.2",37,"Ossingen",30,"Andelfingen"
"31.3",37,"Ossingen",33,"Kleinandelfingen"
"31.4",37,"Ossingen",39,"Thalheim an der Thur"
"31.5",37,"Ossingen",40,"Trüllikon"
"31.6",37,"Ossingen",41,"Truttikon"
"31.7",37,"Ossingen",44,"Waltalingen"
"32.1",38,"Rheinau",22,"Benken (ZH)"
"32.2",38,"Rheinau",25,"Dachsen"
"32.3",38,"Rheinau",35,"Marthalen"
