BFS,Regionen,Steuerfuss_oK,,
1 ,Aeugst a.A.,122 ,,
2 ,Affoltern a.A.,111 ,,
3 ,Bonstetten,122 ,,
4 ,Hausen a.A.,112 ,,
5 ,Hedingen,122 ,,
6 ,Kappel a.A.,112 ,,
7 ,Knonau,112 ,,
8 ,Maschwanden,112 ,,
9 ,Mettmenstetten,112 ,,
10 ,Obfelden,112 ,,
11 ,Ottenbach,112 ,,
12 ,Rifferswil,114 ,,
13 ,Stallikon,97 ,,
14 ,Wettswil a.A.,100 ,,
21 ,Adlikon,117 ,,
30 ,Andelfingen,116 ,,
22 ,Benken,112 ,,
23 ,Berg a.I.,105 ,,
24 ,Buch a.I.,117 ,,
25 ,Dachsen,115 ,,
26 ,Dorf,115 ,,
27 ,Feuerthalen,115 ,,
28 ,Flaach,115 ,,
29 ,Flurlingen,118 ,,
31 ,Henggart,112 ,,
32 ,Humlikon,117 ,,
33 ,Kleinandelfingen,117 ,,
34 ,Laufen-Uhwiesen,115 ,,
35 ,Marthalen,112 ,,
36 ,Oberstammheim,115 ,,
37 ,Ossingen,112 ,,
38 ,Rheinau,117 ,,
39 ,Thalheim a.d.Th.,114 ,,
40 ,Trüllikon,117 ,,
41 ,Truttikon,117 ,,
42 ,Unterstammheim,117 ,,
43 ,Volken,120 ,,
44 ,Waltalingen,115 ,,
51 ,Bachenbülach,112 ,,
52 ,Bassersdorf,120 ,,
53 ,Bülach,116 ,,
54 ,Dietlikon,100 ,,
55 ,Eglisau,122 ,,
56 ,Embrach,115 ,,
57 ,Freienstein-Teufen,115 ,,
58 ,Glattfelden,112 ,,
59 ,Hochfelden,112 ,,
60 ,Höri,113 ,,
61 ,Hüntwangen,113 ,,
62 ,Kloten,87 ,,
63 ,Lufingen,112 ,,
64 ,Nürensdorf,107 ,,
65 ,Oberembrach,117 ,,
66 ,Opfikon,87 ,,
67 ,Rafz,114 ,,
68 ,Rorbas,115 ,,
69 ,Wallisellen,85 ,,
70 ,Wasterkingen,117 ,,
71 ,Wil,112 ,,
72 ,Winkel,94 ,,
81 ,Bachs,117 ,,
82 ,Boppelsen,112 ,,
83 ,Buchs,106 ,,
84 ,Dällikon,95 ,,
85 ,Dänikon,112 ,,
86 ,Dielsdorf,119 ,,
87 ,Hüttikon,110 ,,
88 ,Neerach,98 ,,
89 ,Niederglatt,117 ,,
90 ,Niederhasli,122 ,,
91 ,Niederweningen,119 ,,
92 ,Oberglatt,122 ,,
93 ,Oberweningen,112 ,,
94 ,Otelfingen,107 ,,
95 ,Regensberg,112 ,,
96 ,Regensdorf,108 ,,
97 ,Rümlang,100 ,,
98 ,Schleinikon,119 ,,
99 ,Schöfflisdorf,115 ,,
100 ,Stadel,112 ,,
101 ,Steinmaur,115 ,,
102 ,Weiach,92 ,,
241 ,Aesch,107 ,,
242 ,Birmensdorf,90 ,,
243 ,Dietikon,117 ,,
244 ,Geroldswil,85 ,,
245 ,Oberengstringen,100 ,,
246 ,Oetwil a.d.L,94 ,,
247 ,Schlieren,108 ,,
248 ,Uitikon,84 ,,
249 ,Unterengstringen,100 ,,
250 ,Urdorf,111 ,,
251 ,Weiningen,105 ,,
111 ,Bäretswil,114 ,,
112 ,Bubikon,118 ,,
113 ,Dürnten,115 ,,
114 ,Fischenthal,122 ,,
115 ,Gossau,118 ,,
116 ,Grüningen,116 ,,
117 ,Hinwil,114 ,,
118 ,Rüti,112 ,,
119 ,Seegräben,122 ,,
120 ,Wald,112 ,,
121 ,Wetzikon,113 ,,
131 ,Adliswil,118 ,,
132 ,Hirzel,122 ,,
133 ,Horgen,94 ,,
134 ,Hütten,115 ,,
135 ,Kilchberg,91 ,,
136 ,Langnau a.A.,103 ,,
