,,,Gemeindesteuerfüsse 2007 / Gewogene Mittel,,,,,,Korrektur Steurfuss ref. Kirche Grüningen 24.5.2007 von 12 auf richtig 13 geändert,,,,,,,,,,,,,,,,,,,,,
,,,In Prozent der einfachen Staatssteuer,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
,,,,,,,,,,,Gesamtsteuerfüsse,,,,,,,,,,St'fuss,,,,,,,,,
,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,für,,,,,,,,,
,,,,Poli-,Primar-,,Oberst'-,Ref. ,Röm.-kath.,Christkath.,,,,mit christ-,,prov. gewogene Mittel,,,def. gewogene Mittel,,jurist-,,,,,,,,,
,,,,tische,schul-,Schul-,schul-,Kirch-,Kirch-,Kirch-,ohne,mit ref.,mit kath.,kath.,,-,-,,-,-,ische,,,,,,,,,
Alph.,BFS,P 90,Gemeinden,Gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,Kirchen,Kirche,Kirche,Kirche,,o. Kirche,mit Kirche,,o. Kirche,mit Kirche,Pers.,,,,,,,,,
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
4 ,1 ,1,Aeugst a.A.,37,41,,23,12,16,14,101,113,117,115,,,,,,110.0,114.20,,,,,,,,,
5 ,2 ,2,Affoltern a.A.,48,52,,23,14,16,14,123,137,139,137,,,,,,134.5,137.94,,,,,,,,,
17 ,3 ,3,Bonstetten,34,53,,19,14,9,14,106,120,115,120,,,,,,114.4,117.85,,,,,,,,,
56 ,4 ,4,Hausen a.A.,41,48,,24,11,15,14,113,124,128,127,,,,,,121.4,125.56,,,,,,,,,
57 ,5 ,5,Hedingen,37,,76,,12,16,14,113,125,129,127,,,,,,123.9,126.44,,,,,,,,,
74 ,6 ,6,Kappel a.A.,38,51,,24,14,15,14,113,127,128,127,,,,,,125.0,127.34,,,,,,,,,
78 ,7 ,7,Knonau,40,58,,25,14,15,14,123,137,138,137,,,,,,133.2,137.44,,,,,,,,,
87 ,8 ,8,Maschwanden,48,50,,25,14,15,14,123,137,138,137,,,,,,134.5,137.30,,,,,,,,,
90 ,9 ,9,Mettmenstetten,30,49,,25,11,15,14,104,115,119,118,,,,,,112.4,116.52,,,,,,,,,
104 ,10 ,10,Obfelden,51,47,,23,13,16,14,121,134,137,135,,,,,,131.3,135.29,,,,,,,,,
110 ,11 ,11,Ottenbach,41,56,,23,14,16,14,120,134,136,134,,,,,,130.2,134.70,,,,,,,,,
119 ,12 ,12,Rifferswil,89,,,24,14,15,14,113,127,128,127,,,,,,122.2,127.28,,,,,,,,,
135 ,13 ,13,Stallikon,76,,,19,9,9,14,95,104,104,109,,,,,,100.7,104.00,,,,,,,,,
160 ,14 ,14,Wettswil a.A.,32,31,,19,9,9,14,82,91,91,96,,,,,,88.4,91.00,,,,,,,,,
1 ,21 ,15,Adlikon,60,30,,24,13,15,14,114,127,129,128,,,,,,124.5,127.26,,,,,,,,,
7 ,30 ,16,Andelfingen,47,42,,24,13,15,14,113,126,128,127,,,,,,124.5,126.52,,,,,,,,,
13 ,22 ,17,Benken,45,50,,24,14,15,14,119,133,134,133,,,,,,129.7,133.20,,,,,,,,,
14 ,23 ,18,Berg a.I.,51,40,,23,14,13,14,114,128,127,128,,,,,,126.3,127.86,,,,,,,,,
21 ,24 ,19,Buch a.I.,44,51,,23,14,13,14,118,132,131,132,,,,,,128.5,131.86,,,,,,,,,
24 ,25 ,20,Dachsen,40,50,,23,13,15,14,113,126,128,127,,,,,,122.6,126.54,,,,,,,,,
33 ,26 ,21,Dorf,45,48,,23,14,13,14,116,130,129,130,,,,,,127.0,129.85,,,,,,,,,
45 ,27 ,22,Feuerthalen,50,,73,,13,15,14,123,136,138,137,,,,,,133.0,136.78,,,,,,,,,
47 ,28 ,23,Flaach,47,48,,23,14,13,14,118,132,131,132,,,,,,129.4,131.79,,,,,,,,,
48 ,29 ,24,Flurlingen,48,46,,23,13,15,14,117,130,132,131,,,,,,126.7,130.58,,,,,,,,,
58 ,31 ,25,Henggart,89,,,24,14,13,14,113,127,126,127,,,,,,124.8,126.74,,,,,,,,,
69 ,32 ,26,Humlikon,43,56,,24,13,15,14,123,136,138,137,,,,,,132.8,136.42,,,,,,,,,
76 ,33 ,27,Kleinandelfingen,46,43,,24,13,15,14,113,126,128,127,,,,,,123.6,126.48,,,,,,,,,
82 ,34 ,28,Laufen-Uhwiesen,53,39,,23,13,15,14,115,128,130,129,,,,,,125.3,128.52,,,,,,,,,
86 ,35 ,29,Marthalen,53,42,,24,14,15,14,119,133,134,133,,,,,,131.3,133.18,,,,,,,,,
102 ,36 ,30,Oberstammheim,45,,78,,14,15,14,123,137,138,137,,,,,,135.3,137.16,,,,,,,,,
108 ,37 ,31,Ossingen,46,50,,27,14,15,14,123,137,138,137,,,,,,134.9,137.19,,,,,,,,,
116 ,38 ,32,Rheinau,99,,,24,14,15,14,123,137,138,137,,,,,,133.2,137.49,,,,,,,,,
138 ,39 ,33,Thalheim a.d.Th.,93,,,24,14,13,14,117,131,130,131,,,,,,127.4,130.86,,,,,,,,,
140 ,40 ,34,Trüllikon,45,44,,24,14,15,14,113,127,128,127,,,,,,123.9,127.18,,,,,,,,,
141 ,41 ,35,Truttikon,45,41,,27,14,15,14,113,127,128,127,,,,,,125.2,127.20,,,,,,,,,
146 ,42 ,36,Unterstammheim,45,,78,,14,15,14,123,137,138,137,,,,,,135.7,137.13,,,,,,,,,
149 ,43 ,37,Volken,46,54,,23,14,13,14,123,137,136,137,,,,,,131.9,136.78,,,,,,,,,
154 ,44 ,38,Waltalingen,45,,78,,14,15,14,123,137,138,137,,,,,,134.7,137.18,,,,,,,,,
8 ,51 ,39,Bachenbülach,27,40,,19,11,12,14,86,97,98,100,,,,,,94.0,97.43,,,,,,,,,
11 ,52 ,40,Bassersdorf,99,,,,10,11,14,99,109,110,113,,,,,,106.9,109.44,,,,,,,,,
23 ,53 ,41,Bülach,102,,,19,11,12,14,121,132,133,135,,,,,,129.4,132.41,,,,,,,,,
31 ,54 ,42,Dietlikon,95,,,,12,12,14,95,107,107,109,,,,,,104.5,107.00,,,,,,,,,
37 ,55 ,43,Eglisau,45,,78,,14,15,14,123,137,138,137,,,,,,133.0,137.32,,,,,,,,,
