GEFIS_EINHEIT,GEBIET_NAME,THEMA_NAME,SET_NAME,SUBSET_NAME,SUBSUBSET_NAME,INDIKATOR_ID,INDIKATOR_NAME,INDIKATOR_JAHR,INDIKATOR_VALUE,EINHEIT_KURZ,EINHEIT_LANG
800000PS,"Zürich, Stadt",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,91753413,Fr.,Franken
810200PS,"Oberengstringen, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,98844,Fr.,Franken
810300P,"Unterengstringen, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
810400PP,"Weiningen, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,103925,Fr.,Franken
810500P,"Regensdorf, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
810700PP,"Buchs, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,156690,Fr.,Franken
810800PP,"Dällikon, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,110958,Fr.,Franken
811200PP,"Otelfingen, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,19059,Fr.,Franken
811300P,"Boppelsen, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
811400P,"Dänikon, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
811500P,"Hüttikon, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
811700P,"Fällanden, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
812400PS,"Maur, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,41223,Fr.,Franken
812600PS,"Zumikon, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
813200PS,"Egg, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,108132,Fr.,Franken
813400PS,"Adliswil, Stadt",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,355177,Fr.,Franken
813500PS,"Langnau a.A., Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,192535,Fr.,Franken
814200P,"Uitikon, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
814300PP,"Stallikon, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,137496,Fr.,Franken
815200PS,"Opfikon, Stadt",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,759352,Fr.,Franken
815300P,"Rümlang, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
815400PP,"Oberglatt, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,47086,Fr.,Franken
815500PP,"Niederhasli, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,241355,Fr.,Franken
815700P,"Dielsdorf, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
815800P,"Regensberg, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
816200P,"Steinmaur, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
816400P,"Bachs, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
816500P,"Schöfflisdorf, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
816501P,"Oberweningen, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
816502P,"Schleinikon, Politische Gemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
