GEFIS_EINHEIT,GEBIET_NAME,THEMA_NAME,SET_NAME,SUBSET_NAME,SUBSUBSET_NAME,INDIKATOR_ID,INDIKATOR_NAME,INDIKATOR_JAHR,INDIKATOR_VALUE,EINHEIT_KURZ,EINHEIT_LANG
810300U,"Unterengstringen, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,38748,Fr.,Franken
810500U,"Regensdorf, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,287222,Fr.,Franken
811300U,"Boppelsen, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,8700,Fr.,Franken
811400U,"Dänikon-Hüttikon, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,135342,Fr.,Franken
811700S,"Fällanden, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,136271,Fr.,Franken
814200S,"Uitikon, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,120323,Fr.,Franken
815300U,"Rümlang, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,205553,Fr.,Franken
815700U,"Dielsdorf, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,89154,Fr.,Franken
815800U,"Regensberg, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
816200U,"Steinmaur, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,46706,Fr.,Franken
816400U,"Bachs, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,10976,Fr.,Franken
816600S,"Wehntal, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,41095,Fr.,Franken
817200U,"Niederglatt, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,104280,Fr.,Franken
817300U,"Neerach, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,132146,Fr.,Franken
817400U,"Stadel, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,3477,Fr.,Franken
818100U,"Höri, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,31473,Fr.,Franken
818200U,"Hochfelden, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,16453,Fr.,Franken
818400U,"Bachenbülach, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,64365,Fr.,Franken
818500U,"Winkel, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,21716,Fr.,Franken
818700U,"Weiach, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,15022,Fr.,Franken
819300S,"Eglisau, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,31234,Fr.,Franken
819600S,"Unteres Rafzerfeld, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,17124,Fr.,Franken
824700U,"Flurlingen, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,10211,Fr.,Franken
824800U,"Laufen-Uhwiesen, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,17244,Fr.,Franken
830400S,"Wallisellen, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,311835,Fr.,Franken
830500S,"Dietlikon, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
833500S,"Hittnau, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,91808,Fr.,Franken
834000S,"Hinwil, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,128543,Fr.,Franken
835200U,"Elsau, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,-35201,Fr.,Franken
