GEFIS_EINHEIT,GEBIET_NAME,THEMA_NAME,SET_NAME,SUBSET_NAME,SUBSUBSET_NAME,INDIKATOR_ID,INDIKATOR_NAME,INDIKATOR_JAHR,INDIKATOR_VALUE,EINHEIT_KURZ,EINHEIT_LANG
810400O,"Weiningen, Oberstufenschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,32852,Fr.,Franken
810500O,"Regensdorf/Buchs/Dällikon, Oberstufenschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,18736,Fr.,Franken
811200O,"Otelfingen, Oberstufenschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,6050,Fr.,Franken
811700S,"Fällanden, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,136271,Fr.,Franken
814200S,"Uitikon, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,120323,Fr.,Franken
815300O,"Rümlang-Oberglatt, Sekundarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,50362,Fr.,Franken
815500O,"Niederhasli-Niederglatt-Hofstetten, Sekundarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
815700O,"Dielsdorf, Sekundarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,17220,Fr.,Franken
816600S,"Wehntal, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,41095,Fr.,Franken
817400O,"Stadel, Oberstufenschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,5001,Fr.,Franken
818000O,"Bülach, Sekundarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
819300S,"Eglisau, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,31234,Fr.,Franken
819600S,"Unteres Rafzerfeld, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,17124,Fr.,Franken
824800O,"Uhwiesen, Sekundarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
830400S,"Wallisellen, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,311835,Fr.,Franken
830500S,"Dietlikon, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
833500S,"Hittnau, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,91808,Fr.,Franken
834000S,"Hinwil, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,128543,Fr.,Franken
835200O,"Elsau-Schlatt, Oberstufenschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
835300O,"Elgg, Sekundarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,9458,Fr.,Franken
841600S,"Flaachtal, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,65882,Fr.,Franken
842400O,"Embrach, Sekundarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,12657,Fr.,Franken
842700S,"Rorbas-Freienstein-Teufen, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,67928,Fr.,Franken
845000O,"Andelfingen, Sekundarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,4461,Fr.,Franken
846000O,"Marthalen, Sekundarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
847200O,"Seuzach, Sekundarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
847500O,"Ossingen-Truttikon, Sekundarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,1054,Fr.,Franken
847600S,"Stammertal, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
848800O,"Turbenthal-Wildberg, Sekundarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
849200O,"Wila, Oberstufenschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
854201S,"Wiesendangen, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
854500O,"Rickenbach, Sekundarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,8163,Fr.,Franken
860000O,"Dübendorf-Schwerzenbach, Sekundarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,48127,Fr.,Franken
