INDIKATOR_ID,INDIKATOR_NAME,EINHEIT_LANG,QUELLE,BESCHREIBUNG
1196,62x Gemeindestrassen [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Gemeindestrassen
1197,63x Privatstrassen [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Privatstrassen
1198,64x Bundesbahnen [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Bundesbahnen
1199,65x Regionalverkehr [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Regionalverkehr
1200,66x Schifffahrt [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Schifffahrt
1201,700 Wasserversorgung [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Wasserversorgung
1202,701-709 Wasser [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Wasser
1203,71x Abwasser [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Abwasser
1204,72x Abfall [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Abfall
1205,73x Schlachthöfe [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Schlachthöfe
1206,74x Friedhöfe und Bestattungen [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Friedhöfe und Bestattungen
1207,75x Gewässerunterhalt und -verbauungen [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Gewässerunterhalt und -verbauungen
1208,77x Naturschutz [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Naturschutz
1209,78x Übriger Umweltschutz [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für übriger Umweltschutz
1210,79x Raumplanung [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Raumordnung
1211,80x Landwirtschaft [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Landwirtschaft
1212,81x Forstwesen [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Forstwesen
1213,82x Jagd und Fischerei [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Jagd und Fischerei
1214,"83x Tourismus, kommunale Werbung [Fr./Einw.]",Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)","Nettoaufwendungen für Tourismus, kommunale Werbung"
1215,"84x Beiträge Industrie, Gewerbe, Handel [Fr./Einw.]",Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)","Nettoaufwendungen für Beiträge Industrie, Gewerbe, Handel"
1216,860 Energieversorgung [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Energieversorgung
1217,861 Elektrizitätswerk - Elektrizitätsnetz [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Elektrizitätswerk - Elektrizitätsnetz
1218,862 Gasversorgung [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Gasversorgung
1219,863 Fernwärme [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Fernwärme
1220,864 [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für *nicht definiert*
1221,865 Elektrizitätswerk - Stromhandel und Übriges [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Elektrizitätswerk - Stromhandel und Übriges
1397,"866 Energie, Übriges [Fr./Einw.]",Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)","Nettoaufwendungen für Energie, Übriges"
1398,"867 Energie, Übriges [Fr./Einw.]",Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)","Nettoaufwendungen für Energie, Übriges"
1399,"868 Energie, Übriges [Fr./Einw.]",Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)","Nettoaufwendungen für Energie, Übriges"
1222,"869 Energie, Übriges [Fr./Einw.]",Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)","Nettoaufwendungen für Energie, Übriges"
1223,87x Sonstige Gemeindebetriebe [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für sonstige Gemeindebetriebe
1224,90x Gemeindesteuern [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Gemeindesteuern
1225,92x Finanzausgleich [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Finanzausgleich
1226,93x Einnahmenanteile [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Einnahmenanteile
1227,940 Kapitaldienst [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Kapitaldienst
1228,941 Buchgewinne und -verluste [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Buchgewinne und -verluste
1229,942 Grundeigentum Finanzvermögen [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Grundeingentum Finanzvermögen
1230,943 Gutsbetriebe [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Gutsbetriebe
1231,990 Abschreibungen [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Abschreibungen
1400,994 Sammelkredit (nur Voranschlag) [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwand für Sammelkredit (nur Voranschlag)
1232,995 Neutrale Aufwendungen und Ertrage [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für neutrale Aufwendungen und Ertäge
1401,996 Neubewertung Grundeigentum FV [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwand für Neubewertung Grundeigentum Finanzvermögen
1233,997 Abschluss Zweckverband [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Abschluss Zweckverbände
1234,998 Einnahmenüberschüsse der IR [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Einnahmenüberschüsse der Investitionsrechnung
1235,999 Abschluss [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Abschluss
1236,50 Sachgüter [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Investitionsausgaben für Sachgüter
1237,52 Darlehen und Beteiligungen [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Investitionsausgaben für Darlehen und Beteiligungen
1238,56 Investitionsbeiträge [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Investitionsausgaben für Investitionsbeiträge
1239,57 Durchlaufende Beiträge [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Investitionsausgaben für durchlaufende Beiträge
1240,58 Übrige zu aktivierende Ausgaben [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Investitionsausgaben für übrige zu aktivierende Ausgaben
1241,59 Passivierungen [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Investitionsausgaben für Passivierungen
1242,60 Abgang von Sachgütern [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Investitionseinnahmen aus Sachgütern
1243,61 Nutzungsabgaben und Vorteilsentgelte [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Investitionseinnahmen aus Nutzungsabgaben und Vorteilsentgelte
1244,62 Rückzahlung von Darlehen und Beteiligungen [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Investitionseinnahmen aus Darlehen und Beteilgungnen
